2025-11-06 13:06:36,770 - DISCOVERED | https://www.duoc.cl/redes-sociales/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,771 - DISCOVERED | https://www.duoc.cl/convivenciaeinclusion/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,771 - DISCOVERED | https://www.duoc.cl/nosotros/calidad-acreditacion/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,771 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/deportes/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,805 - DISCOVERED | https://www.duoc.cl/kit-digital/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,805 - DISCOVERED | https://www.duoc.cl/nosotros/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,805 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/estrategia-de-apoyo-a-los-estudiantes/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,806 - DISCOVERED | https://www.duoc.cl/bienvenida-duoc-online/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,806 - DISCOVERED | https://www.duoc.cl/escuela/ingenieria-recursos-naturales/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,806 - DISCOVERED | https://www.duoc.cl | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,806 - DISCOVERED | https://www.duoc.cl/wp-content/uploads/2025/10/CALENDARIO_ACADE%CC%81MICO_2026_ONLINE.pdf | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,807 - DISCOVERED | https://www.duoc.cl/escuela/administracion-negocios/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,807 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 1
2025-11-06 13:06:39,989 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/identidad/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,989 - DISCOVERED | https://www.duoc.cl/escuela/diseno/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,990 - DISCOVERED | https://www.duoc.cl/proyectos-servicios/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,990 - DISCOVERED | https://www.duoc.cl/contacto/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/alumnos/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/unete-a-nuestro-equipo/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/escuela/turismo/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/oferta-academica/carreras/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/vida-estudiantil | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/nosotros/donde-estamos/sedes/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,991 - DISCOVERED | https://www.duoc.cl/nosotros/donde-estamos/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/sala-de-prensa/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/nosotros/vinculacionconelmedio/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/nosotros/investigacion-aplicada/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/transparencia/memoria-anual/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/reintegros/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/historia/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,993 - DISCOVERED | https://www.duoc.cl/oferta-academica/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,994 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/convivencia-e-inclusion/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,994 - DISCOVERED | https://www.duoc.cl/internacionalizacion/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,994 - DISCOVERED | https://www.duoc.cl/admision-2025/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,994 - DISCOVERED | https://www.duoc.cl/docentes/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,995 - DISCOVERED | https://www.duoc.cl/colaboradores/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,995 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/pastoral/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,995 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/unidad-de-apoyo-y-bienestar-estudiantil/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,995 - DISCOVERED | https://www.duoc.cl/escuela/gastronomia/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,995 - DISCOVERED | https://www.duoc.cl/semestrecero/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,996 - DISCOVERED | https://www.duoc.cl/portal-proveedores/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,996 - DISCOVERED | https://www.duoc.cl/biblioteca/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,997 - DISCOVERED | https://www.duoc.cl/nosotros/autoridades/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,997 - DISCOVERED | https://www.duoc.cl/empresas/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,998 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/simbolos/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
